"Johnson, Lyndon", "President"
"Lidsville", "TV Series"
"Millennium", "TV Series"
"Muppet Show", "TV Show"
"Patton", "Unclassified"
"Pieces", "Unclassified"
"Plague Dogs, The", "Animation"
"Queen of Outer Space", "Unclassified"
"Romper Stomper", "Unclassified"
"Six Million Dollar Man, The", "TV Show"
"Squirm", "Unclassified"
"Star Trek III: The Search for Spock", "Unclassified"
"Star Trek: Voyager", "TV Series"
"Stargate", "Unclassified"
"Thing From Another World, The", "Unclassified"
"This is Spinal Tap", "Unclassified"
"Zombi Holocaust", "Unclassified"
"At Midnight I'll Take Your Soul", "Unclassified"
"Case of Charles Dexter Ward, The", "Unclassified"
"Laughton, Charles", "Actor"
"Single White Female", "Unclassified"
"Blue Jam", "Radio Show"
"Dole, Bob", "Senator"
"Return of The Pink Panther", "Unclassified"
"Angel Heart", "Unclassified"
"Animal House", "Unclassified"
"Backdraft", "Unclassified"
"Beneath the Planet of the Apes", "Unclassified"
"Berzerk", "Video Game"
"Blechtrommel, Die", "Unclassified"
"Bloody Pit of Horror", "Unclassified"
"Brazil", "Unclassified"
"Broken Arrow", "Unclassified"
"Brood, The", "Unclassified"
"Child of Satan", "Unclassified"
"City of the Living Dead", "Unclassified"
"Clockers", "Unclassified"
"Corpse Grinders, The", "Unclassified"
"Cyborg", "Unclassified"
"Dead & Buried", "Unclassified"
"Dead Alive", "Unclassified"
"Death Race 2000", "Unclassified"
"Demons", "Unclassified"
"Diamonds Are Forever", "Unclassified"
"Die Hard", "Unclassified"
"Dracula A.D. 1972", "Unclassified"
"Elephant Man, The", "Unclassified"
"Exorcist II: The Heretic", "Unclassified"
"Faces of Death", "Documentary"
"Ferris Bueller's Day Off", "Unclassified"
"Ghost", "Unclassified"
"Heavy Metal", "Unclassified"
"Hidden, The", "Unclassified"
"Indiana Jones and the Last Crusade", "Unclassified"
"Juice", "Unclassified"
"Kallinger, Joseph", "Killer"
"Kindergarten Cop", "Unclassified"
"Klute", "Unclassified"
"Last House On Dead End Street, The", "Unclassified"
"Lost Souls", "Unclassified"
"Man Who Fell To Earth, The", "Unclassified"
"Marathon Man", "Unclassified"
"Mean Streets", "Unclassified"
"Moontrap", "Unclassified"
"Mr. Blooper", "Record Series"
"New York Ripper, The", "Unclassified"
"North by Northwest", "Unclassified"
"Omen II: Damien", "Unclassified"
"Patriot Games", "Unclassified"
"Peeping Tom", "Unclassified"
"Pink Flamingos", "Unclassified"
