"Legacy of Kain: Soul Reaver","Game","Unknown"
"Demolition Man","Unknown","Unknown"
"Earth vs. the Flying Saucers","Unknown","Unknown"
"Hindenburg","Catastrophy","Unknown"
"Running Man, The","Unknown","Unknown"
"Night Gallery","TV Series","Unknown"
"Berkowitz, David","Killer","Unknown"
"Skippy Awards, The","TV Show","Unknown"
"Bennett-Speed, Carolyn","Radio Host","Unknown"
"From The Heart of the World","Unknown","Unknown"
"Murray, Les","Sports Commentator","Unknown"
"Pit and the Pendulum, The","1961","Unknown"
"Carrie","Unknown","Unknown"
"Coffy","Unknown","Unknown"
"Entity, The","Unknown","Unknown"
"King of Comedy, The","Unknown","Unknown"
"Omega Code, The","Unknown","Unknown"
"Sneakers","Unknown","Unknown"
"Time Bandits","Unknown","Unknown"
"Avengers, The","TV Show","Unknown"
"Boogie Nights","Unknown","Unknown"
"Bride, The","Unknown","Unknown"
"Virgin Among the Living Dead","Unknown","Unknown"
"Things to Come","Unknown","Unknown"
"Top of the Pops","TV Show","Unknown"
"Violent Years, The","Unknown","Unknown"
"Absolutely Fabulous","TV show","Unknown"
"Airplane!","Unknown","Unknown"
"Beetlejuice","Unknown","Unknown"
"Biafra, Jello","Artist","Unknown"
"Black Hole, The","Unknown","Unknown"
"Boondock Saints, The","Unknown","Unknown"
"Bruce, Lenny","Comedian","Unknown"
"Communion","Unknown","Unknown"
"Eaten Alive","Unknown","Unknown"
"End of Days","Unknown","Unknown"
"Fat Albert & The Cosby Kids","Cartoon","Unknown"
"Fellowship Of The Ring, The","Unknown","Unknown"
"Fist Of The North Star","Unknown","Unknown"
"Fog, The","Unknown","Unknown"
"Foxx, Redd","Comedian","Unknown"
"Fugitive, The","Unknown","Unknown"
"Gladiator","Unknown","Unknown"
"Halloween","Unknown","Unknown"
"Hollywood Chainsaw Hookers","Unknown","Unknown"
"I Spit on Your Grave","Unknown","Unknown"
"Impossible Mission","Computer Game","Unknown"
"Johnson, Lyndon","President","Unknown"
"Lidsville","TV Series","Unknown"
"Millennium","TV Series","Unknown"
"Muppet Show","TV Show","Unknown"
"Patton","Unknown","Unknown"
"Pieces","Unknown","Unknown"
"Plague Dogs, The","Animation","Unknown"
"Queen of Outer Space","Unknown","Unknown"
"Romper Stomper","Unknown","Unknown"
"Six Million Dollar Man, The","TV Show","Unknown"
"Squirm","Unknown","Unknown"
"Star Trek III: The Search for Spock","Unknown","Unknown"
"Star Trek: Voyager","TV Series","Unknown"
"Stargate","Unknown","Unknown"
"Thing From Another World, The","Unknown","Unknown"
"This is Spinal Tap","Unknown","Unknown"
"Zombi Holocaust","Unknown","Unknown"
"At Midnight I'll Take Your Soul","Unknown","Unknown"
"Case of Charles Dexter Ward, The","Unknown","Unknown"
"Laughton, Charles","Actor","Unknown"
"Single White Female","Unknown","Unknown"
"Blue Jam","Radio Show","Unknown"
"Dole, Bob","Senator","Unknown"
"Return of The Pink Panther","Unknown","Unknown"
"Angel Heart","Unknown","Unknown"
"Animal House","Unknown","Unknown"
"Backdraft","Unknown","Unknown"
"Beneath the Planet of the Apes","Unknown","Unknown"
"Berzerk","Video Game","Unknown"
"Blechtrommel, Die","Unknown","Unknown"
"Bloody Pit of Horror","Unknown","Unknown"
"Brazil","Unknown","Unknown"
"Broken Arrow","Unknown","Unknown"
"Brood, The","Unknown","Unknown"
"Child of Satan","Unknown","Unknown"
"City of the Living Dead","Unknown","Unknown"
"Clockers","Unknown","Unknown"
"Corpse Grinders, The","Unknown","Unknown"
"Cyborg","Unknown","Unknown"
"Dead & Buried","Unknown","Unknown"
"Dead Alive","Unknown","Unknown"
"Death Race 2000","Unknown","Unknown"
"Demons","Unknown","Unknown"
"Diamonds Are Forever","Unknown","Unknown"
"Die Hard","Unknown","Unknown"
"Dracula A.D. 1972","Unknown","Unknown"
"Elephant Man, The","Unknown","Unknown"
"Exorcist II: The Heretic","Unknown","Unknown"
"Faces of Death","Documentary","Unknown"
"Ferris Bueller's Day Off","Unknown","Unknown"
"Ghost","Unknown","Unknown"
"Heavy Metal","Unknown","Unknown"
"Hidden, The","Unknown","Unknown"
"Indiana Jones and the Last Crusade","Unknown","Unknown"
"Juice","Unknown","Unknown"
"Kallinger, Joseph","Killer","Unknown"
"Kindergarten Cop","Unknown","Unknown"
"Klute","Unknown","Unknown"
"Last House On Dead End Street, The","Unknown","Unknown"
"Lost Souls","Unknown","Unknown"
"Man Who Fell To Earth, The","Unknown","Unknown"
"Marathon Man","Unknown","Unknown"
"Mean Streets","Unknown","Unknown"
"Moontrap","Unknown","Unknown"
"Mr. Blooper","Record Series","Unknown"
"New York Ripper, The","Unknown","Unknown"
"North by Northwest","Unknown","Unknown"
"Omen II: Damien","Unknown","Unknown"
"Patriot Games","Unknown","Unknown"
"Peeping Tom","Unknown","Unknown"
"Pink Flamingos","Unknown","Unknown"
"Plan 9 From Outer Space","Unknown","Unknown"
"Poltergeist II","Unknown","Unknown"
"Reading Rainbow","TV Show","Unknown"
"Rendlesham UFO Incident","Audio Tape","Unknown"
"Repo Man","Unknown","Unknown"
"Road to Perdition","Unknown","Unknown"
"Schwarzkopf, Norman","General","Unknown"
"Shaolin Executioner","Unknown","Unknown"
"Shivers","Unknown","Unknown"
"Slacker","Unknown","Unknown"
"Ten Tigers Of Kwangtung","Unknown","Unknown"
"Testament of Orpheus","Unknown","Unknown"
"Thirteenth Floor, The","Unknown","Unknown"
"Wall Street","Unknown","Unknown"
"War Of The Worlds","Radio Broadcast","Unknown"
"WarGames","Unknown","Unknown"
"WarGames","Unknown","Unknown"
"Woodstock","Documentary","Unknown"
"Young Frankenstein","Unknown","Unknown"
"Bukowski, Charles","Author","Unknown"
"Christine","Unknown","Unknown"
"Cité des Enfants Perdus, La","Unknown","Unknown"
"Divorce Court","TV Series","Unknown"
"Fractured Leghorn, A","Cartoon","Unknown"
"Jones, Alex","Radio Host","Unknown"
"Land of the Lost","TV Series","Unknown"
